index	name	genres	rating	type	stars	details	box_office	tech_specs
111.	No kidding	Comedy	Null	TV Series	Elena Novikova, Nikolay Shrayber	Official Sites: KinoPoisk link\nCountry: Russia\nLanguage: Russian\nAlso Known As: No Kidding 	Null	Runtime: 30 min\nColor: Color
112.	Ich-chi	Horror	5.6	Feature Film	Null	Country: Russia\nLanguage: Russian\nRelease Date: 9 September 2020 (Portugal) 	Null	Runtime: 87 min\nColor: Color
113.	NMDNI	Documentary	Null	TV Series	Leonid Parfyonov, Sharonov Aleksandr, Buranovskie Babushki	Country: Russia\nLanguage: Russian\nRelease Date: 26 October 2020 (Russia) 	Null	Color: Color
114.	Журналюги	Crime, Drama	Null	TV Series	Nika Balina, Aleksey Bardukov, Ekaterina Kuznetsova	Country: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) \nAlso Known As: Журналюги 	Null	Color: Color
115.	Cinema isolation	Drama	Null	Feature Film	Null	Official Sites: VGIK festival site with film\nCountry: Russia\nLanguage: Russian\nRelease Date: 23 October 2020 (Russia) \nAlso Known As: Kinoisolyatsiya 	Null	Runtime: 45 min\nColor: Color
116.	Герда	Drama	Null	Feature Film	Anastasiya Krasovskaya, Yuriy Borisov, Darius Gumauskas	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) \nAlso Known As: Герда 	Null	Color: Color
117.	Руммейт	Null	4.2	TV Series	Anfisa Chernykh, Yuriy Nasonov, Aram Vardevanyan	Official Sites: More.tv\nCountry: Russia\nLanguage: Russian\nRelease Date: 15 October 2020 (Russia) \nAlso Known As: Руммейт 	Null	Runtime: 25 min\nColor: Color (HD)
118.	Золото	Adventure	Null	TV Series	Ilya Antonenko, Evgeniy Dyatlov, Beso Gataev	Official Sites: Channel portal\nCountry: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) \nAlso Known As: Золото 	Null	Color: Color
119.	The Melody of String Tree	Animation	Null	Feature Film	Vladimir Adzhamov, Denis Aliev, Vadim Gusev	Official Sites: Antidote Sales [rus]\nCountry: Russia\nLanguage: Russian\nRelease Date: 5 October 2020 (Russia) \nAlso Known As: Мелодия струнного дерева 	Null	Runtime: 78 min\nColor: Color
120.	Четвертая стена	Drama, Sci-Fi	Null	Null	Ulyana Chzhan, Roman Baluev, Irina Nikonova	Official Sites: Official Site [Russia]\nCountry: Russia\nLanguage: Russian\nAlso Known As: Четвертая стена 	Null	Runtime: 110 min\nColor: Color
121.	Etyud #2	Drama	Null	Feature Film	Null	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) 	Null	Color: Color
122.	Eldzhey: Lamborghini Countach	Short, Music	Null	Feature Film	Null	Country: Russia\nLanguage: Russian\nRelease Date: 21 September 2020 (Russia) \nAlso Known As: Lamborghini Countach 	Null	Runtime: 3 min
123.	Ночь грез	Drama	Null	Feature Film	Bulatova Milana, Malik Timirbulatov	Official Sites: kinopoisk\nCountry: Russia\nLanguage: Russian\nRelease Date: 25 December 2020 (Russia) \nAlso Known As: Ночь грез \nFilming Locations: Istanbul, Turkey 	Null	Runtime: 125 min\nColor: Color (4K)
124.	МУЛЬТ в кино. Выпуск # 116	Animation	Null	Null	Bulatova Milana, Malik Timirbulatov	Official Sites: Official Facebook | Official Instagram | \nCountry: Russia\nLanguage: Russian\nAlso Known As: МУЛЬТ в кино. Выпуск # 116 	Null	Color: Color
125.	Ищейка 4	Crime	Null	TV Series	Anna Banshchikova, Denis Burgazliev, Eduard Chekmazov	Country: Russia\nLanguage: Russian\nAlso Known As: Ищейка 4 	Null	Color: Color
126.	Dva kapitana	Drama	Null	Feature Film	Vadim Badmatsyrenov, Midigma Dorzhieva, Aleksey Garmaev	Official Sites: official site\nCountry: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) 	Null	Color: Color
127.	The Re-Stoned - Farther Beyond Moon Dust	Short, Music	Null	Feature Film	The Re-Stoned, Vladimir Kislyakov, Ilya Lipkin	Country: Russia\nRelease Date: 12 November 2020 (Russia) \nFilming Locations: Skylark Studio, Moscow, Russia	Null	Runtime: 9 min\nColor: Color
128.	Portraits of a Jazz Artist: Innokenty Ivanov	Music	Null	Feature Film	Innokenty Ivanov, Polina Yurchenko	Official Sites: Currently building the content for this site\nCountry: Russia\nLanguage: Russian\nRelease Date: 15 November 2020 (Russia) 	Budget:$25,000 (estimated)	Color: Color
129.	Мятный пряник	Drama	Null	Null	Oleg Almazov, Oleg Bainazarov, Inna Churikova	Country: Russia\nLanguage: Russian\nAlso Known As: Мятный пряник \nFilming Locations: Arkhangelsk, Russia 	Null	Runtime: 97 min\nSound Mix: Dolby Digital\nColor: Color\nAspect Ratio: 2.39 : 1
130.	Police Face Off as Protests in Hong Kong on China's National Day - 01-10-20	News	Null	Feature Film	Oleg Almazov, Oleg Bainazarov, Inna Churikova	Official Sites: Official YouTube\nCountry: Russia\nLanguage: Cantonese\nRelease Date: 30 September 2020 (Russia) \nFilming Locations: Hong Kong	Null	Runtime: 335 min\nColor: Color
131.	The Rape of Lucretia	Music	Null	Feature Film	Georgiy Faradzhev, Natalya Kreslina, Anton Morozov	Official Sites: Official site\nCountry: Russia\nLanguage: English\nRelease Date: 27 October 2020 (Russia) 	Null	Runtime: 110 min\nColor: Color
132.	Trump Supporters Hold Rallies in Washington, DC After Scotus Election Ruling	News	Null	Feature Film	Georgiy Faradzhev, Natalya Kreslina, Anton Morozov	Official Sites: Official YouTube\nCountry: Russia\nLanguage: English\nRelease Date: 12 December 2020 (Russia) \nFilming Locations: Washington, District of Columbia, USA	Null	Runtime: 194 min\nColor: Color
133.	Tyomnaya storona sveta 2	Crime	Null	Feature Film	Phillip Azarov, Anna Banshchikova, Anatoliy Druzenko	Country: Russia\nLanguage: Russian\nRelease Date: 6 November 2020 (Russia) 	Null	Color: Color
134.	Чумовой Новый Год!	Comedy, Musical	Null	Feature Film	Maksim Lagashkin, Zoya Berber, Eva Smirnova	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 28 December 2020 (Russia) \nAlso Known As: Чумовой Новый Год! 	Null	Runtime: 93 min\nSound Mix: Stereo (Digital)\nColor: Color (4K)\nAspect Ratio: 16 : 9
